texto,origen,texto_limpio,tokens,longitud
Lazcan verga con el muñeco de Cartón pero estos infelices trajeron al muñeco de carne y hueso con una MÁSCARA DE RAFAEL CORREA... EN FIN LA HIPOTENUSA,x,lazcan verga con el muneco de carton pero estos infelices trajeron al muneco de carne y hueso con una mascara de rafael correa en fin la hipotenusa,"['lazc', 'verg', 'munec', 'carton', 'infelic', 'trajeron', 'munec', 'carn', 'hues', 'masc', 'rafael', 'corre', 'fin', 'hipotenus']",27
"Jamil Mahuad, expresidente de Ecuador, denunció que fue perseguido durante el correísmo y sin posibilidad de defenderse. El exmandatario aseguró que Rafael Correa manejó el poder judicial.   Mira la entrevista completa en   lhra.ec/Xw5Vc2C",x,jamil mahuad expresidente de ecuador denuncio que fue perseguido durante el correismo y sin posibilidad de defenderse el exmandatario aseguro que rafael correa manejo el poder judicial mira la entrevista completa en lhraecxwvcc,"['jamil', 'mahu', 'expresident', 'ecuador', 'denunci', 'persegu', 'correism', 'posibil', 'defend', 'exmandatari', 'asegur', 'rafael', 'corre', 'manej', 'pod', 'judicial', 'mir', 'entrev', 'complet', 'lhraecxwvcc']",33
"El abogado Víctor Tomalá, de Santa Elena. Después de este video, lo asesinaron. ¡Hasta cuándo!",x,el abogado victor tomala de santa elena despues de este video lo asesinaron hasta cuando,"['abog', 'victor', 'tomal', 'sant', 'elen', 'despu', 'vide', 'asesin']",15
"#VergüenzaMundial Como siempre, Noboa es cuestionado a nivel mundial. Lejos quedaron los días en que realmente teníamos un presidente que nos hacía sentir orgullosos, como Rafael Correa.  #LosCorruptosSiempreFueronEllos #ElMomentoEsAhora",x,como siempre noboa es cuestionado a nivel mundial lejos quedaron los dias en que realmente teniamos un presidente que nos hacia sentir orgullosos como rafael correa,"['siempr', 'nobo', 'cuestion', 'nivel', 'mundial', 'lej', 'qued', 'dias', 'realment', 'teni', 'president', 'haci', 'sent', 'orgull', 'rafael', 'corre']",29
Rafael Correa en la mira de EEUU y Ecuador por sus vínculos con el Cartel de Los Soles donde es asesor de Nicolas Maduro.  Se vienen Terremotos en la Robolucion Ciudadana,x,rafael correa en la mira de eeuu y ecuador por sus vinculos con el cartel de los soles donde es asesor de nicolas maduro se vienen terremotos en la robolucion ciudadana,"['rafael', 'corre', 'mir', 'eeuu', 'ecuador', 'vincul', 'cartel', 'sol', 'asesor', 'nicol', 'madur', 'vien', 'terremot', 'robolucion', 'ciudadan']",31
Esto no lo dijo un digno representante de algún país subdesarrollado: es el discurso en Davos del primer ministro de Canadá.,x,esto no lo dijo un digno representante de algun pais subdesarrollado es el discurso en davos del primer ministro de canada,"['dij', 'dign', 'represent', 'algun', 'pais', 'subdesarroll', 'discurs', 'dav', 'prim', 'ministr', 'can']",21
"EL ROBO DESCARADO DEL ALCALDE CORREISTA DE QUITO PABEL MUÑOZ! Primero fue Rafael Correa en meterle mano a los trabajadores, maestros y docentes, ahora el alcalde de Quito sigue sus pasos metiéndole la mano a los ciudadanos quiteños robándole la plata los IMPUESTOS PREDIALES",x,el robo descarado del alcalde correista de quito pabel munoz primero fue rafael correa en meterle mano a los trabajadores maestros y docentes ahora el alcalde de quito sigue sus pasos metiendole la mano a los ciudadanos quitenos robandole la plata los impuestos prediales,"['rob', 'descar', 'alcald', 'correist', 'quit', 'pabel', 'munoz', 'primer', 'rafael', 'corre', 'met', 'man', 'trabaj', 'maestr', 'docent', 'ahor', 'alcald', 'quit', 'sig', 'pas', 'met', 'man', 'ciudadan', 'quiten', 'rob', 'plat', 'impuest', 'predial']",44
"Estas cloacas con antenas no informan: manipulan. Teleamazonas es del banquero Fidel Egas -se la robó a la familia Granja Centeno-, quien en mi gobierno se fue a vivir a España para no pagar impuestos. Su testaferro era Sebastián  Corral, ilegalmente alto funcionario del Gobierno",x,estas cloacas con antenas no informan manipulan teleamazonas es del banquero fidel egas se la robo a la familia granja centeno quien en mi gobierno se fue a vivir a espana para no pagar impuestos su testaferro era sebastian corral ilegalmente alto funcionario del gobierno,"['cloac', 'anten', 'inform', 'manipul', 'teleamazon', 'banquer', 'fidel', 'egas', 'rob', 'famili', 'granj', 'centen', 'gobiern', 'viv', 'espan', 'pag', 'impuest', 'testaferr', 'sebasti', 'corral', 'ilegal', 'alto', 'funcionari', 'gobiern']",45
"PAUTA ENERO MEDIOS DIGITALES LA DEFENSA conoció la lista y montos establecidos para pauta por la Secretaría de Comunicación para medios digitales. La inversión corresponde a enero 2026.  La cifra se conoce este 25 de enero, en el marco de una polémica reforma  que atentaría",x,pauta enero medios digitales la defensa conocio la lista y montos establecidos para pauta por la secretaria de comunicacion para medios digitales la inversion corresponde a enero la cifra se conoce este de enero en el marco de una polemica reforma que atentaria,"['paut', 'ener', 'medi', 'digital', 'defens', 'conoci', 'list', 'mont', 'establec', 'paut', 'secretari', 'comun', 'medi', 'digital', 'inversion', 'correspond', 'ener', 'cifr', 'conoc', 'ener', 'marc', 'polem', 'reform', 'atentari']",45
"Rafael Correa: Es invitado a medios internacionales, festivales prestigiosos, charlas en universidades. Es autor de varios libros de política, economía, mucha gente en el exterior lo quiere, tiene el respaldo de figuras mundiales.  Y ustedes quemando hígado gratis",x,rafael correa es invitado a medios internacionales festivales prestigiosos charlas en universidades es autor de varios libros de politica economia mucha gente en el exterior lo quiere tiene el respaldo de figuras mundiales y ustedes quemando higado gratis,"['rafael', 'corre', 'invit', 'medi', 'internacional', 'festival', 'prestigi', 'charl', 'univers', 'autor', 'vari', 'libr', 'polit', 'economi', 'much', 'gent', 'exterior', 'quier', 'respald', 'figur', 'mundial', 'usted', 'quem', 'hig', 'gratis']",38
